Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Churn Date,Balance,NumOfProducts,NumComplaints,Age
0,Single,0,"Engineer, site",69930.91,High School,14,Retail,Email,790.0,8,29280.66,0,Not Churned,,60845.11,1.0,6.0,43.0
1,Married,1,"Engineer, biomedical",65032.92,Master's,26,Corporate,Email,414.0,12,2381.23,0,Not Churned,,141183.72,2.0,3.0,62.0
1,Single,0,"Engineer, civil (contracting)",39981.11,Bachelor's,25,Retail,Phone,437.0,2,6761.18,1,Account Closure,2024-06-13,75231.59,2.0,9.0,35.0
1,Single,0,"Psychotherapist, child",91831.65,Master's,18,SME,Phone,394.0,27,6976.75,0,Not Churned,,235451.48,5.0,1.0,65.0
0,Divorced,0,Conference centre manager,78471.18,Master's,24,Corporate,Email,393.0,21,5417.06,0,Not Churned,,83954.38,3.0,1.0,21.0
1,Married,0,Product/process development scientist,92292.74,High School,16,Retail,Phone,520.0,29,36332.9,0,Not Churned,,169581.13,3.0,0.0,41.0
1,Married,4,Broadcast engineer,52775.33,High School,16,Retail,Phone,515.0,26,5663.8,0,Not Churned,,233471.12,4.0,8.0,60.0
1,Married,1,Patent attorney,14710.59,High School,13,SME,Phone,559.0,28,39797.76,0,Not Churned,,114903.09,2.0,0.0,62.0
1,Divorced,1,Insurance claims handler,46317.6,High School,26,Retail,Email,387.0,22,12373.92,0,Not Churned,,224404.73,4.0,0.0,76.0
0,Single,4,Police officer,40613.05,Bachelor's,28,Retail,Phone,309.0,29,16896.93,0,Not Churned,,88966.86,4.0,0.0,46.0
1,Divorced,2,Counselling psychologist,57344.57,High School,8,SME,Phone,829.0,5,37993.92,0,Not Churned,,40478.17,4.0,6.0,55.0
1,Divorced,4,Insurance account manager,71236.42,High School,24,SME,Phone,683.0,15,23390.07,0,Not Churned,,248242.41,5.0,4.0,48.0
0,Divorced,1,Theatre stage manager,88336.88,High School,3,SME,Phone,617.0,11,42389.15,0,Not Churned,,87306.22,4.0,4.0,72.0
0,Married,1,Research scientist (life sciences),64467.74,Bachelor's,7,SME,Email,303.0,14,22006.17,0,Not Churned,,160303.04,3.0,5.0,60.0
0,Married,3,Multimedia programmer,53756.54,High School,9,Corporate,Email,668.0,8,36169.98,0,Not Churned,,87776.33,4.0,7.0,33.0
0,Married,3,"Designer, interior/spatial",80229.05,Diploma,12,Retail,Phone,800.0,15,46050.22,0,Not Churned,,177098.69,3.0,9.0,54.0
1,Single,2,Risk analyst,98732.96,High School,26,Retail,Phone,682.0,22,29249.65,0,Not Churned,,196614.71,5.0,2.0,50.0
1,Single,5,Podiatrist,50627.29,Bachelor's,8,Corporate,Phone,459.0,6,6271.79,1,Account Closure,2024-03-06,40373.67,3.0,10.0,29.0
0,Divorced,2,"Physicist, medical",83123.02,Master's,25,SME,Phone,795.0,24,25245.19,0,Not Churned,,76710.95,1.0,3.0,64.0
0,Divorced,0,Customer service manager,21518.49,Master's,23,SME,Phone,364.0,2,5232.36,0,Not Churned,,127097.74,1.0,4.0,68.0
1,Single,0,Counselling psychologist,87512.21,Bachelor's,26,SME,Email,829.0,7,31164.72,0,Not Churned,,27852.11,5.0,7.0,43.0
1,Divorced,5,Housing manager/officer,85636.57,High School,16,SME,Phone,415.0,29,48322.31,0,Not Churned,,63093.16,1.0,2.0,19.0
1,Single,3,Armed forces operational officer,23790.18,Diploma,28,Corporate,Email,447.0,11,40597.98,0,Not Churned,,64127.57,5.0,1.0,60.0
1,Single,0,Press photographer,98489.19,Bachelor's,27,SME,Phone,592.0,27,28528.36,0,Not Churned,,225678.58,3.0,2.0,24.0
1,Single,3,Estate manager/land agent,64933.28,Bachelor's,30,Corporate,Email,408.0,18,33691.3,0,Not Churned,,57845.5,3.0,3.0,58.0
1,Married,3,"Presenter, broadcasting",72063.83,Diploma,21,SME,Email,453.0,14,36268.21,0,Not Churned,,97674.07,5.0,9.0,54.0
1,Divorced,2,Restaurant manager,23819.57,Diploma,27,Corporate,Email,850.0,12,13055.58,0,Not Churned,,42643.8,3.0,7.0,47.0
1,Married,4,Photographer,43893.01,Master's,16,SME,Email,343.0,23,10827.3,0,Not Churned,,193263.84,5.0,10.0,73.0
1,Single,1,"Teacher, primary school",50043.77,Diploma,19,Retail,Phone,644.0,26,25673.56,0,Not Churned,,134404.42,2.0,10.0,69.0
0,Single,3,"Psychotherapist, dance movement",60947.5,Diploma,30,SME,Phone,356.0,5,18190.69,0,Not Churned,,118613.65,5.0,10.0,66.0
0,Single,0,Water quality scientist,11078.92,Bachelor's,5,Corporate,Phone,709.0,5,17685.73,0,Not Churned,,157076.39,2.0,2.0,42.0
1,Single,4,"Surveyor, hydrographic",51228.37,High School,23,Retail,Phone,685.0,7,33052.23,0,Not Churned,,159548.17,2.0,2.0,49.0
1,Single,2,"Engineer, site",98913.01,Master's,6,Corporate,Email,636.0,1,24591.59,0,Not Churned,,230194.29,2.0,9.0,53.0
0,Single,2,Clinical molecular geneticist,24826.95,High School,9,Retail,Email,392.0,9,38011.57,0,Not Churned,,198522.51,4.0,3.0,27.0
0,Divorced,4,Actuary,6844.88,Bachelor's,1,Corporate,Email,500.0,16,47417.41,0,Not Churned,,161596.55,2.0,3.0,26.0
1,Married,2,Historic buildings inspector/conservation officer,67006.08,Master's,11,Retail,Phone,787.0,23,19861.37,0,Not Churned,,214137.16,2.0,3.0,28.0
0,Married,2,Chartered loss adjuster,62967.38,Diploma,17,Corporate,Email,511.0,8,10463.7,0,Not Churned,,219450.98,4.0,5.0,75.0
1,Married,3,Proofreader,32585.52,Diploma,27,Retail,Email,442.0,18,35822.99,0,Not Churned,,244547.67,3.0,6.0,29.0
0,Married,5,Clinical cytogeneticist,93508.64,Master's,3,Retail,Phone,643.0,14,41410.39,0,Not Churned,,207931.99,3.0,9.0,50.0
1,Married,2,Water quality scientist,33991.6,Bachelor's,3,SME,Phone,706.0,2,35456.8,0,Not Churned,,77848.65,1.0,6.0,57.0
0,Single,5,Illustrator,68182.86,Master's,4,Corporate,Email,396.0,23,10679.66,0,Not Churned,,98389.11,2.0,2.0,64.0
1,Single,0,Geochemist,87620.03,Diploma,14,Retail,Phone,415.0,24,16664.95,0,Not Churned,,93506.03,2.0,7.0,57.0
1,Married,0,Industrial/product designer,96731.47,Diploma,12,Corporate,Email,640.0,26,9108.58,0,Not Churned,,146915.38,4.0,1.0,58.0
1,Divorced,5,Data processing manager,46217.84,Master's,18,SME,Phone,677.0,21,24232.24,0,Not Churned,,111727.37,4.0,9.0,72.0
1,Single,4,Tour manager,56198.29,Master's,4,SME,Email,781.0,18,36177.11,0,Not Churned,,29208.44,1.0,2.0,70.0
1,Divorced,5,"Geologist, engineering",13629.01,Bachelor's,17,Retail,Phone,511.0,3,43880.33,0,Not Churned,,216145.15,2.0,6.0,48.0
1,Divorced,2,Communications engineer,6980.2,Diploma,16,SME,Email,676.0,18,8582.83,1,Better Offers Elsewhere,2024-03-03,19069.93,3.0,6.0,59.0
1,Single,0,Copy,71167.86,Bachelor's,8,Corporate,Phone,782.0,28,24455.56,0,Not Churned,,209091.81,2.0,1.0,30.0
0,Single,2,"Administrator, Civil Service",59860.8,Diploma,29,Corporate,Phone,416.0,23,35217.63,0,Not Churned,,218258.79,1.0,2.0,24.0
1,Married,4,Quarry manager,60620.29,Bachelor's,22,Corporate,Phone,540.0,11,39423.62,0,Not Churned,,69652.22,1.0,0.0,36.0
0,Married,2,Diplomatic Services operational officer,45156.44,Bachelor's,6,Retail,Email,697.0,29,43135.05,0,Not Churned,,63074.82,4.0,4.0,47.0
1,Divorced,5,"Production assistant, radio",41465.71,High School,26,SME,Phone,386.0,28,28777.01,0,Not Churned,,197996.42,5.0,4.0,77.0
0,Married,5,"Journalist, broadcasting",59838.39,Bachelor's,12,Retail,Phone,487.0,30,11961.3,0,Not Churned,,229508.73,1.0,5.0,25.0
0,Divorced,4,Land,34801.19,Master's,16,Retail,Phone,580.0,20,24618.35,0,Not Churned,,145264.44,2.0,10.0,20.0
1,Married,4,Transport planner,27225.52,Master's,16,Retail,Phone,835.0,17,32476.69,0,Not Churned,,36615.38,4.0,5.0,50.0
0,Married,5,"Runner, broadcasting/film/video",20835.17,Bachelor's,16,Retail,Email,301.0,20,30105.04,0,Not Churned,,211665.51,3.0,4.0,24.0
1,Single,3,Broadcast presenter,44763.36,Bachelor's,17,Retail,Phone,348.0,9,27342.03,0,Not Churned,,170810.39,3.0,3.0,27.0
1,Divorced,5,"Education officer, community",70561.15,High School,7,Retail,Phone,375.0,16,26890.87,0,Not Churned,,38679.73,5.0,3.0,75.0
0,Married,3,"Conservation officer, historic buildings",77167.53,Diploma,27,Corporate,Phone,492.0,4,6374.91,1,Service Issues,2024-04-13,38534.11,2.0,7.0,43.0
1,Married,3,Armed forces operational officer,98799.99,Bachelor's,12,Corporate,Phone,749.0,5,39582.33,0,Not Churned,,120899.74,4.0,8.0,60.0
1,Divorced,0,Occupational psychologist,97676.94,Bachelor's,29,Retail,Email,413.0,25,18595.31,0,Not Churned,,190897.86,2.0,5.0,65.0
0,Divorced,3,Electronics engineer,74653.9,Master's,22,Corporate,Phone,569.0,18,15246.23,1,Service Issues,2024-03-21,27198.22,2.0,4.0,62.0
1,Divorced,3,Marine scientist,14421.9,High School,10,Corporate,Email,418.0,14,16509.16,0,Not Churned,,97748.25,5.0,6.0,28.0
0,Single,3,"Accountant, chartered",15656.28,Diploma,30,Retail,Email,821.0,13,24643.54,0,Not Churned,,139133.15,4.0,10.0,67.0
0,Single,3,Educational psychologist,41742.82,Diploma,2,Retail,Email,820.0,25,49898.88,0,Not Churned,,131401.01,2.0,7.0,33.0
1,Single,4,Ranger/warden,60284.63,High School,24,Corporate,Email,455.0,12,49588.26,0,Not Churned,,172665.82,2.0,0.0,30.0
1,Married,5,Travel agency manager,67655.14,High School,11,SME,Phone,613.0,10,42786.62,0,Not Churned,,129482.27,4.0,5.0,63.0
0,Single,3,Chiropodist,86311.86,Bachelor's,3,Retail,Phone,826.0,30,19854.15,0,Not Churned,,219409.95,3.0,1.0,52.0
0,Married,1,Freight forwarder,62636.33,High School,23,Corporate,Phone,354.0,2,49043.3,0,Not Churned,,199080.2,5.0,6.0,72.0
1,Married,4,"Designer, ceramics/pottery",90238.37,Bachelor's,2,SME,Email,402.0,9,38157.39,1,Service Issues,2024-05-31,42188.3,2.0,10.0,45.0
0,Divorced,1,Geographical information systems officer,40396.27,Diploma,10,Retail,Email,365.0,12,34181.72,0,Not Churned,,241474.6,5.0,10.0,71.0
0,Divorced,3,Applications developer,74029.89,Master's,4,SME,Phone,570.0,22,46593.21,0,Not Churned,,122629.01,4.0,10.0,72.0
1,Divorced,0,Dentist,23085.0,Bachelor's,22,SME,Email,779.0,19,35914.5,0,Not Churned,,248563.04,3.0,9.0,20.0
0,Divorced,2,Electrical engineer,50761.08,Master's,7,SME,Email,391.0,3,46566.08,0,Not Churned,,61556.92,4.0,9.0,75.0
0,Married,5,Publishing rights manager,42038.69,Diploma,23,Corporate,Email,335.0,7,14797.78,0,Not Churned,,226855.45,5.0,10.0,49.0
1,Married,1,Heritage manager,10836.9,Master's,23,Corporate,Phone,646.0,26,21863.55,0,Not Churned,,164488.71,1.0,4.0,48.0
1,Married,0,"Surveyor, rural practice",31291.8,Master's,26,Corporate,Email,356.0,20,49711.73,0,Not Churned,,141234.34,5.0,5.0,64.0
1,Divorced,2,Environmental manager,49997.15,Master's,8,Corporate,Phone,392.0,24,32691.81,0,Not Churned,,72820.71,3.0,6.0,52.0
1,Divorced,2,Oncologist,94891.35,Bachelor's,4,Corporate,Email,604.0,19,19478.93,0,Not Churned,,117467.48,3.0,1.0,42.0
1,Married,5,"Therapist, sports",47126.33,Bachelor's,25,Corporate,Phone,456.0,20,11897.83,0,Not Churned,,84310.64,5.0,10.0,26.0
0,Divorced,5,Audiological scientist,11980.86,Diploma,18,Corporate,Phone,757.0,14,33286.75,0,Not Churned,,220615.77,1.0,6.0,29.0
1,Married,2,Health visitor,99937.9,High School,15,Corporate,Phone,734.0,27,2371.31,0,Not Churned,,166396.54,3.0,2.0,35.0
0,Divorced,0,Sports administrator,21633.23,Master's,8,SME,Email,607.0,25,16734.89,0,Not Churned,,19936.66,4.0,1.0,53.0
1,Divorced,1,Agricultural engineer,47220.55,Diploma,8,Corporate,Email,569.0,14,21473.95,1,Account Closure,2024-04-13,57371.94,1.0,7.0,49.0
0,Single,2,Economist,71709.54,High School,30,SME,Phone,692.0,16,12633.11,0,Not Churned,,186833.0,4.0,10.0,66.0
1,Divorced,5,Diplomatic Services operational officer,89423.81,High School,7,SME,Phone,375.0,2,49235.32,0,Not Churned,,88890.14,5.0,1.0,72.0
0,Divorced,1,Lobbyist,84882.14,Bachelor's,8,SME,Email,367.0,8,3683.14,1,Better Offers Elsewhere,2024-07-09,21190.62,4.0,10.0,34.0
0,Single,5,Tax adviser,81535.2,Bachelor's,14,SME,Phone,449.0,29,11484.1,0,Not Churned,,91383.85,4.0,4.0,62.0
1,Married,0,Careers information officer,12404.66,High School,5,SME,Email,529.0,1,43854.71,0,Not Churned,,168956.6,5.0,0.0,54.0
0,Married,2,"Engineer, civil (consulting)",84889.06,Diploma,15,Corporate,Email,319.0,28,5930.02,0,Not Churned,,249748.59,1.0,6.0,67.0
1,Divorced,1,"Programmer, applications",96951.75,Master's,4,Corporate,Email,782.0,26,49092.88,0,Not Churned,,55941.04,3.0,7.0,69.0
1,Single,4,"Psychologist, counselling",53107.07,Master's,16,SME,Email,338.0,25,41737.54,0,Not Churned,,164264.91,3.0,5.0,25.0
0,Married,2,Politician's assistant,72591.73,Diploma,20,SME,Phone,350.0,9,33016.91,1,Service Issues,2024-03-20,31190.16,4.0,5.0,45.0
1,Single,2,"Engineer, production",78576.53,Bachelor's,22,Corporate,Email,392.0,11,34535.95,0,Not Churned,,184520.11,2.0,4.0,29.0
0,Single,0,Advice worker,53506.06,Master's,25,Retail,Email,440.0,2,19043.82,0,Not Churned,,205104.63,3.0,8.0,34.0
0,Married,0,Press sub,29156.09,High School,8,Retail,Email,845.0,17,44010.58,0,Not Churned,,237164.01,4.0,3.0,43.0
1,Single,1,Insurance risk surveyor,84231.76,Bachelor's,11,SME,Email,334.0,21,26819.81,0,Not Churned,,159372.05,2.0,0.0,54.0
1,Married,3,Cartographer,76565.26,High School,14,Corporate,Phone,464.0,14,2069.6,0,Not Churned,,107967.85,3.0,10.0,65.0
1,Divorced,4,Chief Technology Officer,66815.78,High School,9,Retail,Phone,613.0,21,32307.53,0,Not Churned,,21465.88,5.0,1.0,21.0
1,Married,3,Leisure centre manager,91909.35,Bachelor's,20,SME,Email,575.0,27,1722.92,0,Not Churned,,219244.93,1.0,4.0,22.0
1,Married,2,"Doctor, hospital",22648.78,Master's,30,SME,Phone,702.0,11,16800.9,0,Not Churned,,70283.34,3.0,1.0,55.0
0,Married,1,Warden/ranger,57786.57,Diploma,30,SME,Phone,596.0,5,28530.88,0,Not Churned,,225391.61,4.0,0.0,66.0
0,Single,1,Product manager,18874.43,High School,20,Retail,Phone,330.0,28,25722.19,0,Not Churned,,167829.52,5.0,2.0,39.0
1,Married,2,Advertising copywriter,29021.31,Master's,25,Retail,Email,807.0,29,24682.37,0,Not Churned,,151560.71,3.0,7.0,68.0
0,Single,5,Oncologist,53440.47,Diploma,4,Retail,Phone,307.0,13,29086.29,0,Not Churned,,130318.42,1.0,3.0,58.0
1,Single,3,Insurance underwriter,32744.87,Master's,18,SME,Email,353.0,9,28058.88,0,Not Churned,,234281.0,5.0,8.0,29.0
1,Married,5,Farm manager,70493.04,High School,13,SME,Email,719.0,13,23674.44,0,Not Churned,,41941.21,4.0,0.0,52.0
1,Married,0,"Scientist, research (physical sciences)",44889.3,Bachelor's,14,Retail,Phone,518.0,12,43404.91,0,Not Churned,,193224.16,4.0,9.0,24.0
1,Married,4,Sports coach,8815.82,Bachelor's,9,SME,Email,847.0,9,38933.92,0,Not Churned,,203367.57,3.0,9.0,69.0
1,Married,0,Structural engineer,62829.7,Diploma,16,Corporate,Phone,317.0,19,3104.86,0,Not Churned,,78432.99,3.0,3.0,45.0
1,Single,5,Accounting technician,33221.66,Diploma,25,Corporate,Phone,827.0,19,29304.5,0,Not Churned,,5605.46,4.0,6.0,23.0
0,Married,5,Horticultural therapist,83045.85,Master's,25,Corporate,Phone,706.0,21,37568.93,0,Not Churned,,214731.99,3.0,1.0,25.0
1,Married,1,"Scientist, marine",31129.54,Bachelor's,1,Corporate,Phone,513.0,10,40910.69,0,Not Churned,,69124.71,4.0,7.0,50.0
1,Single,0,Public relations officer,82338.0,Diploma,17,Retail,Email,791.0,30,8273.34,0,Not Churned,,30839.81,4.0,8.0,71.0
0,Divorced,4,Fast food restaurant manager,5451.73,Diploma,15,SME,Phone,375.0,28,10728.35,0,Not Churned,,203631.79,3.0,4.0,28.0
1,Married,4,Retail buyer,19206.15,Bachelor's,14,Corporate,Phone,753.0,19,38470.01,0,Not Churned,,226339.23,1.0,5.0,66.0
0,Divorced,1,"Journalist, newspaper",92491.65,Master's,25,Corporate,Email,353.0,6,24383.75,0,Not Churned,,121979.19,2.0,8.0,64.0
0,Married,4,Arts development officer,92900.92,Master's,1,SME,Email,819.0,1,23402.63,0,Not Churned,,85569.1,3.0,9.0,63.0
0,Married,2,Broadcast presenter,22255.78,Master's,6,SME,Phone,750.0,29,37198.19,0,Not Churned,,182984.12,1.0,8.0,62.0
1,Divorced,2,Passenger transport manager,67071.18,Diploma,24,Corporate,Email,616.0,11,33451.93,0,Not Churned,,142790.06,3.0,1.0,71.0
1,Single,3,Mining engineer,15735.99,Diploma,25,Retail,Email,677.0,16,39518.93,0,Not Churned,,221662.47,3.0,10.0,38.0
1,Single,3,Quality manager,59563.31,Diploma,20,Corporate,Email,367.0,14,28734.86,1,Service Issues,2024-07-16,52217.81,2.0,5.0,50.0
1,Divorced,1,Civil Service administrator,94581.36,Bachelor's,9,SME,Phone,471.0,30,46641.44,0,Not Churned,,169261.13,5.0,8.0,38.0
1,Married,0,Amenity horticulturist,34027.75,Master's,13,SME,Email,621.0,22,31688.58,0,Not Churned,,24259.07,4.0,0.0,20.0
1,Married,3,Ceramics designer,11822.77,High School,27,Corporate,Phone,849.0,9,42583.09,0,Not Churned,,64251.8,3.0,6.0,45.0
1,Married,2,Water engineer,21102.65,Bachelor's,23,Corporate,Email,828.0,29,1835.21,0,Not Churned,,220435.95,3.0,5.0,66.0
1,Married,1,Careers adviser,42247.48,High School,21,Corporate,Email,641.0,10,14507.94,0,Not Churned,,104091.39,5.0,4.0,54.0
0,Married,2,Optometrist,99600.49,Diploma,18,SME,Email,687.0,15,35579.25,0,Not Churned,,14003.55,5.0,5.0,37.0
0,Divorced,3,Statistician,80364.62,High School,7,SME,Phone,814.0,19,2074.02,0,Not Churned,,213123.76,2.0,9.0,35.0
0,Married,3,"Civil engineer, consulting",30090.79,Master's,3,Corporate,Email,363.0,2,42533.34,1,Relocation,2024-03-02,319.91,3.0,6.0,52.0
1,Divorced,0,Diagnostic radiographer,35868.34,Diploma,18,Corporate,Phone,507.0,12,46964.44,0,Not Churned,,71008.78,5.0,0.0,62.0
0,Divorced,2,Chief Operating Officer,52570.79,Diploma,17,SME,Phone,748.0,27,15369.92,0,Not Churned,,165049.76,1.0,2.0,47.0
0,Divorced,2,Medical illustrator,60762.69,Diploma,7,Retail,Email,542.0,27,41364.51,0,Not Churned,,198431.73,3.0,6.0,50.0
1,Divorced,4,"Nurse, mental health",49195.14,Diploma,2,Retail,Email,833.0,18,18426.92,0,Not Churned,,48868.32,3.0,3.0,48.0
0,Married,0,Government social research officer,74479.02,High School,18,SME,Phone,334.0,4,16552.8,0,Not Churned,,166895.54,5.0,1.0,69.0
0,Divorced,0,Toxicologist,22575.51,High School,18,Corporate,Email,618.0,4,29422.79,0,Not Churned,,74390.78,2.0,7.0,19.0
0,Single,4,"Journalist, broadcasting",94852.97,Bachelor's,25,Corporate,Email,802.0,15,15554.34,0,Not Churned,,29709.1,5.0,1.0,24.0
0,Divorced,3,"Production assistant, television",67321.46,Bachelor's,22,SME,Email,624.0,10,36870.84,0,Not Churned,,163571.67,4.0,1.0,42.0
0,Married,5,Insurance account manager,83003.83,Master's,15,Retail,Email,756.0,13,13259.68,0,Not Churned,,76570.42,1.0,9.0,72.0
1,Single,4,Conference centre manager,13369.45,High School,22,SME,Phone,801.0,11,9355.39,0,Not Churned,,68539.03,5.0,0.0,60.0
0,Divorced,2,"Radiographer, diagnostic",19931.13,Master's,29,SME,Phone,698.0,25,26701.6,0,Not Churned,,244005.07,5.0,7.0,37.0
1,Married,0,"Sound technician, broadcasting/film/video",40615.18,Bachelor's,14,Corporate,Email,400.0,12,2034.48,0,Not Churned,,91672.89,1.0,6.0,50.0
0,Single,1,English as a foreign language teacher,38627.7,Master's,21,Retail,Phone,409.0,24,28085.63,0,Not Churned,,246748.14,3.0,10.0,59.0
1,Divorced,3,Astronomer,71586.41,Diploma,27,Retail,Email,461.0,8,18620.71,0,Not Churned,,216655.57,1.0,8.0,23.0
0,Divorced,5,Industrial/product designer,25770.26,Diploma,23,Retail,Phone,614.0,19,31342.97,0,Not Churned,,237732.31,2.0,6.0,52.0
1,Divorced,1,"Engineer, civil (contracting)",14337.29,Master's,11,SME,Phone,423.0,18,39241.0,0,Not Churned,,223798.93,1.0,8.0,67.0
1,Single,5,IT consultant,6789.27,High School,30,Retail,Email,796.0,16,31093.36,0,Not Churned,,93780.22,2.0,3.0,34.0
0,Single,2,Farm manager,89826.36,Bachelor's,24,Corporate,Email,309.0,19,44146.46,0,Not Churned,,44785.4,4.0,3.0,41.0
1,Divorced,0,Public house manager,93158.24,High School,4,SME,Email,806.0,13,12684.14,1,Better Offers Elsewhere,2024-05-05,18820.96,1.0,9.0,43.0
0,Married,0,"Journalist, newspaper",30903.74,High School,10,SME,Email,768.0,26,18655.18,0,Not Churned,,224873.09,4.0,1.0,68.0
0,Divorced,3,Scientific laboratory technician,71533.91,Master's,11,Retail,Email,320.0,25,15413.62,0,Not Churned,,121940.36,4.0,10.0,40.0
1,Divorced,5,Sports administrator,70517.14,Diploma,19,SME,Email,570.0,20,11869.96,0,Not Churned,,171494.28,3.0,10.0,42.0
1,Divorced,5,Lawyer,65051.0,High School,28,SME,Phone,707.0,9,17609.43,0,Not Churned,,244488.31,2.0,10.0,74.0
0,Single,1,"Merchandiser, retail",19533.96,Diploma,3,SME,Phone,476.0,21,6842.08,0,Not Churned,,101909.49,2.0,7.0,53.0
0,Married,4,"Nurse, adult",51892.68,Diploma,4,Retail,Phone,478.0,29,46352.86,0,Not Churned,,201876.46,2.0,3.0,63.0
1,Single,5,Network engineer,34341.22,Bachelor's,25,Corporate,Email,388.0,21,24326.99,1,Service Issues,2024-01-23,25009.16,4.0,6.0,41.0
0,Single,5,Recruitment consultant,56449.23,Master's,5,Retail,Email,427.0,21,45875.71,0,Not Churned,,189087.62,1.0,3.0,58.0
0,Divorced,3,"Merchandiser, retail",10410.93,Bachelor's,23,Retail,Phone,424.0,21,23556.57,0,Not Churned,,139907.45,4.0,7.0,52.0
1,Married,5,Adult nurse,63876.46,Master's,19,SME,Phone,541.0,6,33984.85,0,Not Churned,,110107.17,1.0,4.0,54.0
1,Divorced,3,"Psychologist, sport and exercise",6606.14,High School,9,Retail,Phone,559.0,29,4864.18,0,Not Churned,,156059.85,3.0,2.0,51.0
1,Married,2,Electronics engineer,66891.35,Bachelor's,14,Corporate,Phone,568.0,3,22744.09,0,Not Churned,,99048.3,4.0,10.0,52.0
0,Single,5,Community development worker,16075.59,Bachelor's,7,SME,Phone,482.0,11,47079.81,1,Service Issues,2024-05-30,19617.52,2.0,3.0,49.0
0,Married,2,Management consultant,88495.81,Bachelor's,17,Corporate,Phone,483.0,22,4174.2,0,Not Churned,,88831.83,4.0,1.0,26.0
1,Married,2,Seismic interpreter,55669.37,Bachelor's,9,Retail,Email,432.0,2,48851.28,1,Account Closure,2024-03-26,15323.93,3.0,9.0,50.0
0,Married,0,"Scientist, clinical (histocompatibility and immunogenetics)",5071.61,Diploma,5,Retail,Phone,328.0,29,44149.27,0,Not Churned,,28137.12,4.0,2.0,60.0
0,Single,4,"Engineer, structural",19776.52,Diploma,6,Retail,Email,415.0,11,24733.92,0,Not Churned,,225478.28,4.0,2.0,33.0
1,Married,0,Ecologist,96792.21,Bachelor's,22,Corporate,Email,779.0,14,22437.96,0,Not Churned,,88440.33,2.0,6.0,59.0
0,Divorced,5,Fine artist,45064.12,Diploma,26,SME,Email,415.0,17,13464.68,0,Not Churned,,168572.41,1.0,8.0,64.0
