Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Balance,NumOfProducts,NumComplaints,Age,Days Since Churn,Debt-to-Income Ratio,Products per Tenure,Complaints per Product
0,0,2,189,50761.08,3,7,2,0,391.0,3,46566.08,0,2,61556.92,4.0,9.0,75.0,-1.0,0.9173398725978131,0.5,1.8
0,1,5,488,42038.69,1,23,0,0,335.0,7,14797.78,0,2,226855.45,5.0,10.0,49.0,-1.0,0.3519954595288405,0.20833333333333334,1.6666666666666667
1,1,1,289,10836.9,3,23,0,1,646.0,26,21863.55,0,2,164488.71,1.0,4.0,48.0,-1.0,2.017323466723258,0.041666666666666664,2.0
1,1,0,577,31291.8,3,26,0,0,356.0,20,49711.73,0,2,141234.34,5.0,5.0,64.0,-1.0,1.5885996139687086,0.18518518518518517,0.8333333333333334
1,0,2,229,49997.15,3,8,0,1,392.0,24,32691.81,0,2,72820.71,3.0,6.0,52.0,-1.0,0.6538603928345349,0.3333333333333333,1.5
1,0,2,410,94891.35,0,4,0,0,604.0,19,19478.93,0,2,117467.48,3.0,1.0,42.0,-1.0,0.20527397624782187,0.6,0.25
1,1,5,612,47126.33,0,25,0,1,456.0,20,11897.83,0,2,84310.64,5.0,10.0,26.0,-1.0,0.2524613637140063,0.19230769230769232,1.6666666666666667
0,0,5,55,11980.86,1,18,0,1,757.0,14,33286.75,0,2,220615.77,1.0,6.0,29.0,-1.0,2.778095387527479,0.05263157894736842,3.0
1,1,2,287,99937.9,2,15,0,1,734.0,27,2371.31,0,2,166396.54,3.0,2.0,35.0,-1.0,0.02372759756211045,0.1875,0.5
0,0,0,558,21633.23,3,8,2,0,607.0,25,16734.89,0,2,19936.66,4.0,1.0,53.0,-1.0,0.7735375837272692,0.4444444444444444,0.2
1,0,1,26,47220.55,1,8,0,0,569.0,14,21473.95,1,0,57371.94,1.0,7.0,49.0,395.0,0.4547489440732039,0.1111111111111111,3.5
0,2,2,179,71709.54,2,30,2,1,692.0,16,12633.11,0,2,186833.0,4.0,10.0,66.0,-1.0,0.1761681058321413,0.12903225806451613,2.0
1,0,5,171,89423.81,2,7,2,1,375.0,2,49235.32,0,2,88890.14,5.0,1.0,72.0,-1.0,0.5505778541771573,0.625,0.16666666666666666
0,0,1,351,84882.14,0,8,2,0,367.0,8,3683.14,1,1,21190.62,4.0,10.0,34.0,308.0,0.04339071339726593,0.4444444444444444,2.0
0,2,5,581,81535.2,0,14,2,1,449.0,29,11484.1,0,2,91383.85,4.0,4.0,62.0,-1.0,0.14084664235026897,0.26666666666666666,0.8
1,1,0,80,12404.66,2,5,2,0,529.0,1,43854.71,0,2,168956.6,5.0,0.0,54.0,-1.0,3.5350565790131276,0.8333333333333334,0.0
0,1,2,202,84889.06,1,15,0,0,319.0,28,5930.02,0,2,249748.59,1.0,6.0,67.0,-1.0,0.06985529283404913,0.0625,3.0
1,0,1,466,96951.75,3,4,0,0,782.0,26,49092.88,0,2,55941.04,3.0,7.0,69.0,-1.0,0.506358819115497,0.6,1.75
1,2,4,473,53107.07,3,16,2,0,338.0,25,41737.54,0,2,164264.91,3.0,5.0,25.0,-1.0,0.7858982636725454,0.17647058823529413,1.25
0,1,2,444,72591.73,1,20,2,1,350.0,9,33016.91,1,4,31190.16,4.0,5.0,45.0,419.0,0.4548239196955398,0.19047619047619047,1.0
1,2,2,218,78576.53,0,22,0,0,392.0,11,34535.95,0,2,184520.11,2.0,4.0,29.0,-1.0,0.43951432426038334,0.08695652173913043,1.3333333333333333
0,2,0,23,53506.06,3,25,1,0,440.0,2,19043.82,0,2,205104.63,3.0,8.0,34.0,-1.0,0.35591228521993173,0.11538461538461539,2.0
0,1,0,447,29156.09,2,8,1,0,845.0,17,44010.58,0,2,237164.01,4.0,3.0,43.0,-1.0,1.5094297819158222,0.4444444444444444,0.6
1,2,1,322,84231.76,0,11,2,0,334.0,21,26819.81,0,2,159372.05,2.0,0.0,54.0,-1.0,0.3184011778790105,0.16666666666666666,0.0
1,1,3,81,76565.26,2,14,0,1,464.0,14,2069.6,0,2,107967.85,3.0,10.0,65.0,-1.0,0.0270301827462906,0.2,2.5
1,0,4,99,66815.78,2,9,1,1,613.0,21,32307.53,0,2,21465.88,5.0,1.0,21.0,-1.0,0.4835241985620977,0.5,0.16666666666666666
1,1,3,345,91909.35,0,20,2,0,575.0,27,1722.92,0,2,219244.93,1.0,4.0,22.0,-1.0,0.018745658133169984,0.047619047619047616,2.0
1,1,2,174,22648.78,3,30,2,1,702.0,11,16800.9,0,2,70283.34,3.0,1.0,55.0,-1.0,0.7417687942222839,0.0967741935483871,0.25
0,1,1,630,57786.57,1,30,2,1,596.0,5,28530.88,0,2,225391.61,4.0,0.0,66.0,-1.0,0.49372001625955203,0.12903225806451613,0.0
0,2,1,457,18874.43,2,20,1,1,330.0,28,25722.19,0,2,167829.52,5.0,2.0,39.0,-1.0,1.3627339880468947,0.23809523809523808,0.3333333333333333
1,1,2,22,29021.31,3,25,1,0,807.0,29,24682.37,0,2,151560.71,3.0,7.0,68.0,-1.0,0.8504619377299739,0.11538461538461539,1.75
0,2,5,410,53440.47,1,4,1,1,307.0,13,29086.29,0,2,130318.42,1.0,3.0,58.0,-1.0,0.5442644073974762,0.2,1.5
1,2,3,323,32744.87,3,18,2,0,353.0,9,28058.88,0,2,234281.0,5.0,8.0,29.0,-1.0,0.8568677515668389,0.2631578947368421,1.3333333333333333
1,1,5,240,70493.04,2,13,2,0,719.0,13,23674.44,0,2,41941.21,4.0,0.0,52.0,-1.0,0.33583605082075024,0.2857142857142857,0.0
1,1,0,536,44889.3,0,14,1,1,518.0,12,43404.91,0,2,193224.16,4.0,9.0,24.0,-1.0,0.9669106688972896,0.26666666666666666,1.8
1,1,4,559,8815.82,0,9,2,0,847.0,9,38933.92,0,2,203367.57,3.0,9.0,69.0,-1.0,4.41586875993839,0.3,2.25
1,1,0,564,62829.7,1,16,0,1,317.0,19,3104.86,0,2,78432.99,3.0,3.0,45.0,-1.0,0.04941628853410833,0.17647058823529413,0.75
1,2,5,6,33221.66,1,25,0,1,827.0,19,29304.5,0,2,5605.46,4.0,6.0,23.0,-1.0,0.8820636276565452,0.15384615384615385,1.2
0,1,5,297,83045.85,3,25,0,1,706.0,21,37568.93,0,2,214731.99,3.0,1.0,25.0,-1.0,0.4523823600774743,0.11538461538461539,0.25
1,1,1,530,31129.54,0,1,0,1,513.0,10,40910.69,0,2,69124.71,4.0,7.0,50.0,-1.0,1.314165767763746,2.0,1.4
1,2,0,486,82338.0,1,17,1,0,791.0,30,8273.34,0,2,30839.81,4.0,8.0,71.0,-1.0,0.10047899537278811,0.2222222222222222,1.6
0,0,4,242,5451.73,1,15,2,1,375.0,28,10728.35,0,2,203631.79,3.0,4.0,28.0,-1.0,1.9675190225813495,0.1875,1.0
1,1,4,514,19206.15,0,14,0,1,753.0,19,38470.01,0,2,226339.23,1.0,5.0,66.0,-1.0,2.00290048237245,0.06666666666666667,2.5
0,0,1,334,92491.65,3,25,0,0,353.0,6,24383.75,0,2,121979.19,2.0,8.0,64.0,-1.0,0.26362905593039015,0.07692307692307693,2.6666666666666665
0,1,4,52,92900.92,3,1,2,0,819.0,1,23402.63,0,2,85569.1,3.0,9.0,63.0,-1.0,0.25190684971849886,1.5,2.25
0,1,2,70,22255.78,3,6,2,1,750.0,29,37198.19,0,2,182984.12,1.0,8.0,62.0,-1.0,1.6713194810749805,0.14285714285714285,4.0
1,0,2,422,67071.18,1,24,0,0,616.0,11,33451.93,0,2,142790.06,3.0,1.0,71.0,-1.0,0.49874523237503243,0.12,0.25
1,2,3,384,15735.99,1,25,1,0,677.0,16,39518.93,0,2,221662.47,3.0,10.0,38.0,-1.0,2.5112127541543843,0.11538461538461539,2.5
1,2,3,490,59563.31,1,20,0,0,367.0,14,28734.86,1,4,52217.81,2.0,5.0,50.0,301.0,0.48241740733670885,0.09523809523809523,1.6666666666666667
1,0,1,104,94581.36,0,9,2,1,471.0,30,46641.44,0,2,169261.13,5.0,8.0,38.0,-1.0,0.4931304315096388,0.5,1.3333333333333333
1,1,0,33,34027.75,3,13,2,0,621.0,22,31688.58,0,2,24259.07,4.0,0.0,20.0,-1.0,0.9312296220107997,0.2857142857142857,0.0
1,1,3,83,11822.77,2,27,0,1,849.0,9,42583.09,0,2,64251.8,3.0,6.0,45.0,-1.0,3.601481591742735,0.10714285714285714,1.5
1,1,2,633,21102.65,0,23,0,0,828.0,29,1835.21,0,2,220435.95,3.0,5.0,66.0,-1.0,0.08696173410760698,0.125,1.25
1,1,1,79,42247.48,2,21,0,0,641.0,10,14507.94,0,2,104091.39,5.0,4.0,54.0,-1.0,0.3433955493783445,0.22727272727272727,0.6666666666666666
0,1,2,416,99600.49,1,18,2,0,687.0,15,35579.25,0,2,14003.55,5.0,5.0,37.0,-1.0,0.3572160416475697,0.2631578947368421,0.8333333333333334
0,0,3,563,80364.62,2,7,2,1,814.0,19,2074.02,0,2,213123.76,2.0,9.0,35.0,-1.0,0.025807304168125624,0.25,3.0
0,1,3,106,30090.79,3,3,0,0,363.0,2,42533.34,1,3,319.91,3.0,6.0,52.0,437.0,1.4134533040407364,0.75,1.5
1,0,0,169,35868.34,1,18,0,1,507.0,12,46964.44,0,2,71008.78,5.0,0.0,62.0,-1.0,1.3093198815478626,0.2631578947368421,0.0
0,0,2,97,52570.79,1,17,2,1,748.0,27,15369.92,0,2,165049.76,1.0,2.0,47.0,-1.0,0.29236059871653597,0.05555555555555555,1.0
0,0,2,370,60762.69,1,7,1,0,542.0,27,41364.51,0,2,198431.73,3.0,6.0,50.0,-1.0,0.6807438784576776,0.375,1.5
1,0,4,403,49195.14,1,2,1,0,833.0,18,18426.92,0,2,48868.32,3.0,3.0,48.0,-1.0,0.3745602805423352,1.0,0.75
0,1,0,279,74479.02,2,18,2,1,334.0,4,16552.8,0,2,166895.54,5.0,1.0,69.0,-1.0,0.2222448382801186,0.2631578947368421,0.16666666666666666
0,0,0,617,22575.51,2,18,0,0,618.0,4,29422.79,0,2,74390.78,2.0,7.0,19.0,-1.0,1.3032479333608251,0.10526315789473684,2.3333333333333335
0,2,4,332,94852.97,0,25,0,0,802.0,15,15554.34,0,2,29709.1,5.0,1.0,24.0,-1.0,0.16398196090263803,0.19230769230769232,0.16666666666666666
0,0,3,460,67321.46,0,22,2,0,624.0,10,36870.84,0,2,163571.67,4.0,1.0,42.0,-1.0,0.5476751740800915,0.17391304347826086,0.2
0,1,5,319,83003.83,3,15,1,0,756.0,13,13259.68,0,2,76570.42,1.0,9.0,72.0,-1.0,0.15974588466719347,0.0625,4.5
1,2,4,130,13369.45,2,22,2,1,801.0,11,9355.39,0,2,68539.03,5.0,0.0,60.0,-1.0,0.6997064421915492,0.21739130434782608,0.0
0,0,2,497,19931.13,3,29,2,1,698.0,25,26701.6,0,2,244005.07,5.0,7.0,37.0,-1.0,1.3396260209019306,0.16666666666666666,1.1666666666666667
1,1,0,553,40615.18,0,14,0,0,400.0,12,2034.48,0,2,91672.89,1.0,6.0,50.0,-1.0,0.05009038269970243,0.06666666666666667,3.0
0,2,1,224,38627.7,3,21,1,1,409.0,24,28085.63,0,2,246748.14,3.0,10.0,59.0,-1.0,0.7270664039949571,0.13636363636363635,2.5
1,0,3,54,71586.41,1,27,1,0,461.0,8,18620.71,0,2,216655.57,1.0,8.0,23.0,-1.0,0.2601115196093838,0.03571428571428571,4.0
0,0,5,316,25770.26,1,23,1,1,614.0,19,31342.97,0,2,237732.31,2.0,6.0,52.0,-1.0,1.216198587108275,0.08333333333333333,2.0
1,0,1,203,14337.29,3,11,2,1,423.0,18,39241.0,0,2,223798.93,1.0,8.0,67.0,-1.0,2.736797763192124,0.08333333333333333,4.0
1,2,5,308,6789.27,2,30,1,0,796.0,16,31093.36,0,2,93780.22,2.0,3.0,34.0,-1.0,4.579105101858984,0.06451612903225806,1.0
0,2,2,240,89826.36,0,24,0,0,309.0,19,44146.46,0,2,44785.4,4.0,3.0,41.0,-1.0,0.49145894970084836,0.16,0.6
1,0,0,483,93158.24,2,4,2,0,806.0,13,12684.14,1,1,18820.96,1.0,9.0,43.0,373.0,0.13615546885096957,0.2,4.5
0,1,0,334,30903.74,2,10,2,0,768.0,26,18655.18,0,2,224873.09,4.0,1.0,68.0,-1.0,0.6036349116672717,0.36363636363636365,0.2
0,0,3,525,71533.91,3,11,1,0,320.0,25,15413.62,0,2,121940.36,4.0,10.0,40.0,-1.0,0.21546990133908045,0.3333333333333333,2.0
1,0,5,558,70517.14,1,19,2,0,570.0,20,11869.96,0,2,171494.28,3.0,10.0,42.0,-1.0,0.16832491611378292,0.15,2.5
